SIM,Hid,Drp,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,64_32,0.3,96.96,96.96,57.72,57.72
1,64_32,0.5,95.78,95.78,56.34,56.34
2,32_32_16,0.3,96.18,96.18,56.24,56.24
3,32_32_16,0.5,93.82,93.82,57.2,57.2
4,32_16,0.3,95.82,95.82,56.8,56.8
5,32_16,0.5,94.06,94.06,58.22,58.22
6,128_64,0.3,97.34,97.34,56.42,56.42
7,128_64,0.5,96.62,96.62,56.34,56.34
8,64_32_32,0.3,96.9,96.9,57.0,57.0
9,64_32_32,0.5,95.48,95.48,55.9,55.9
0,128_32,0.3,98.34,98.34,53.9,53.9
1,128_32,0.5,97.54,97.54,55.64,55.64
2,128_16,0.3,98.32,98.32,56.1,56.1
3,128_16,0.5,97.44,97.44,54.2,54.2
4,16_16_16,0.3,95.06,95.06,53.26,53.26
5,16_16_16,0.5,92.24,92.24,56.86,56.86
6,32_32,0.3,96.64,96.64,56.22,56.22
7,32_32,0.5,95.7,95.7,56.28,56.28
8,64_32,0.3,97.84,97.84,55.0,55.0
9,64_32,0.5,96.64,96.64,56.12,56.12
0,128,0.3,94.52,94.52,56.08,56.08
1,128,0.5,93.9,93.9,56.54,56.54
2,128,0.7,92.4,92.4,56.92,56.92
3,64,0.3,93.92,93.92,55.32,55.32
4,64,0.5,92.68,92.68,57.74,57.74
5,64,0.7,90.68,90.68,57.3,57.3
6,32,0.3,92.36,92.36,55.82,55.82
7,32,0.5,90.42,90.42,57.66,57.66
8,32,0.7,88.02,88.02,56.9,56.9
9,16,0.3,90.26,90.26,56.86,56.86
10,16,0.5,88.22,88.22,56.2,56.2
11,16,0.7,85.94,85.94,54.12,54.12
0,128_128_128_64_32_16,0.3,98.02,98.02,51.76,51.76
