SIM,Hid,Drp,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,128_128_128_64_32_16,0.0,96.38,96.38,49.22,49.22
1,128_128_128_64_32_16,0.2,93.9,93.9,50.96,50.96
2,128_128_128_64_32_16,0.3,92.52,92.52,53.06,53.06
3,128_128_128_64_32_16,0.4,90.42,90.42,50.12,50.12
4,128_128_128_64_32_16,0.5,89.4,89.4,51.92,51.92
5,128_128_64_32_16,0.0,96.64,96.64,47.36,47.36
6,128_128_64_32_16,0.2,94.1,94.1,50.04,50.04
7,128_128_64_32_16,0.3,92.84,92.84,52.14,52.14
8,128_128_64_32_16,0.4,91.14,91.14,51.2,51.2
9,128_128_64_32_16,0.5,89.82,89.82,51.04,51.04
10,128_64_32_16,0.0,96.98,96.98,48.4,48.4
11,128_64_32_16,0.2,93.94,93.94,51.68,51.68
12,128_64_32_16,0.3,92.72,92.72,51.06,51.06
13,128_64_32_16,0.4,91.12,91.12,50.52,50.52
14,128_64_32_16,0.5,90.12,90.12,52.74,52.74
