SIM,Hid,Drp,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,128_64,0.3,98.56,98.56,53.8,53.8
1,128_32,0.3,98.82,98.82,52.42,52.42
2,128_16,0.3,98.66,98.66,53.74,53.74
3,128,0.3,95.68,95.68,57.7,57.7
4,128_64_32,0.3,98.8,98.8,54.12,54.12
0,32_32,0.3,97.04,97.04,55.88,55.88
1,64_32,0.3,97.66,97.66,53.04,53.04
2,64_64,0.3,97.86,97.86,54.04,54.04
0,32,0.3,94.36,94.36,58.74,58.74
0,64,0.3,95.26,95.26,58.56,58.56
1,64,0.5,94.44,94.44,58.98,58.98
2,128,0.3,95.44,95.44,57.6,57.6
3,128,0.5,95.34,95.34,58.98,58.98
