SIM,PCA_comp,Kernel,C,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,no_pca,rbf,10.0,98.38,98.38,55.14,55.14
1,no_pca,rbf,1.0,96.5,96.5,54.76,54.76
2,no_pca,rbf,0.5,95.76,95.76,54.9,54.9
0,no_pca,rbf,1.0,96.5,96.5,54.76,54.76,scale
1,no_pca,rbf,0.5,95.76,95.76,54.9,54.9,scale
2,no_pca,rbf,0.1,91.62,91.62,56.04,56.04,scale
3,no_pca,rbf,0.01,68.04,68.04,51.86,51.86,scale
4,25,rbf,1.0,96.34,96.34,54.22,54.22,scale
5,25,rbf,0.5,95.56,95.56,54.12,54.12,scale
6,25,rbf,0.1,91.32,91.32,55.46,55.46,scale
7,25,rbf,0.01,67.8,67.8,51.66,51.66,scale
8,30,rbf,1.0,96.36,96.36,54.22,54.22,scale
9,30,rbf,0.5,95.64,95.64,54.66,54.66,scale
10,30,rbf,0.1,91.48,91.48,55.66,55.66,scale
11,30,rbf,0.01,67.94,67.94,51.82,51.82,scale
12,35,rbf,1.0,96.4,96.4,54.2,54.2,scale
13,35,rbf,0.5,95.66,95.66,54.96,54.96,scale
14,35,rbf,0.1,91.58,91.58,55.82,55.82,scale
15,35,rbf,0.01,68.0,68.0,51.88,51.88,scale
16,40,rbf,1.0,96.48,96.48,54.66,54.66,scale
17,40,rbf,0.5,95.74,95.74,54.96,54.96,scale
18,40,rbf,0.1,91.56,91.56,56.06,56.06,scale
19,40,rbf,0.01,68.1,68.1,51.86,51.86,scale
0,no_pca,rbf,20.0,99.06,99.06,55.54,55.54,scale
1,no_pca,rbf,10.0,98.38,98.38,55.14,55.14,scale
2,no_pca,rbf,1.0,96.5,96.5,54.76,54.76,scale
3,no_pca,rbf,0.5,95.76,95.76,54.9,54.9,scale
4,no_pca,rbf,0.1,91.62,91.62,56.04,56.04,scale
5,25,rbf,20.0,98.74,98.74,54.18,54.18,scale
6,25,rbf,10.0,98.2,98.2,54.32,54.32,scale
7,25,rbf,1.0,96.34,96.34,54.22,54.22,scale
8,25,rbf,0.5,95.56,95.56,54.12,54.12,scale
9,25,rbf,0.1,91.32,91.32,55.46,55.46,scale
10,30,rbf,20.0,99.0,99.0,55.26,55.26,scale
11,30,rbf,10.0,98.34,98.34,54.66,54.66,scale
12,30,rbf,1.0,96.36,96.36,54.22,54.22,scale
13,30,rbf,0.5,95.64,95.64,54.66,54.66,scale
14,30,rbf,0.1,91.48,91.48,55.66,55.66,scale
15,35,rbf,20.0,99.0,99.0,55.26,55.26,scale
16,35,rbf,10.0,98.36,98.36,54.72,54.72,scale
17,35,rbf,1.0,96.4,96.4,54.2,54.2,scale
18,35,rbf,0.5,95.66,95.66,54.96,54.96,scale
19,35,rbf,0.1,91.58,91.58,55.82,55.82,scale
20,40,rbf,20.0,99.02,99.02,55.56,55.56,scale
21,40,rbf,10.0,98.38,98.38,55.16,55.16,scale
22,40,rbf,1.0,96.48,96.48,54.66,54.66,scale
23,40,rbf,0.5,95.74,95.74,54.96,54.96,scale
24,40,rbf,0.1,91.56,91.56,56.06,56.06,scale
