SIM,PCA_comp,Kernel,C,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,no_pca,rbf,1.0,96.2,96.2,51.4,51.4
1,no_pca,rbf,0.5,95.26,95.26,51.5,51.5
0,3,rbf,0.5,69.82,69.82,41.36,41.36,0.01
0,no_pca,rbf,1.0,96.2,96.2,51.4,51.4,scale
1,no_pca,rbf,0.5,95.26,95.26,51.5,51.5,scale
2,no_pca,rbf,0.1,89.04,89.04,54.22,54.22,scale
3,no_pca,rbf,0.01,67.28,67.28,51.52,51.52,scale
4,25,rbf,1.0,95.96,95.96,51.94,51.94,scale
5,25,rbf,0.5,95.08,95.08,51.6,51.6,scale
6,25,rbf,0.1,88.94,88.94,53.9,53.9,scale
7,25,rbf,0.01,67.38,67.38,51.56,51.56,scale
8,30,rbf,1.0,96.1,96.1,51.8,51.8,scale
9,30,rbf,0.5,95.18,95.18,51.1,51.1,scale
10,30,rbf,0.1,88.98,88.98,54.12,54.12,scale
11,30,rbf,0.01,67.28,67.28,51.48,51.48,scale
12,35,rbf,1.0,96.12,96.12,51.54,51.54,scale
13,35,rbf,0.5,95.22,95.22,51.24,51.24,scale
14,35,rbf,0.1,88.98,88.98,53.98,53.98,scale
15,35,rbf,0.01,67.24,67.24,51.54,51.54,scale
16,40,rbf,1.0,96.2,96.2,51.5,51.5,scale
17,40,rbf,0.5,95.26,95.26,51.4,51.4,scale
18,40,rbf,0.1,89.04,89.04,54.18,54.18,scale
19,40,rbf,0.01,67.26,67.26,51.54,51.54,scale
0,no_pca,rbf,20.0,98.78,98.78,54.8,54.8,scale
1,no_pca,rbf,10.0,98.34,98.34,54.4,54.4,scale
2,no_pca,rbf,1.0,96.2,96.2,51.4,51.4,scale
3,no_pca,rbf,0.5,95.26,95.26,51.5,51.5,scale
4,no_pca,rbf,0.1,89.04,89.04,54.22,54.22,scale
5,25,rbf,20.0,98.5,98.5,54.64,54.64,scale
6,25,rbf,10.0,98.28,98.28,54.04,54.04,scale
7,25,rbf,1.0,95.96,95.96,51.94,51.94,scale
8,25,rbf,0.5,95.08,95.08,51.6,51.6,scale
9,25,rbf,0.1,88.94,88.94,53.9,53.9,scale
10,30,rbf,20.0,98.64,98.64,54.64,54.64,scale
11,30,rbf,10.0,98.32,98.32,54.32,54.32,scale
12,30,rbf,1.0,96.1,96.1,51.8,51.8,scale
13,30,rbf,0.5,95.18,95.18,51.1,51.1,scale
14,30,rbf,0.1,88.98,88.98,54.12,54.12,scale
15,35,rbf,20.0,98.72,98.72,54.34,54.34,scale
16,35,rbf,10.0,98.3,98.3,54.16,54.16,scale
17,35,rbf,1.0,96.12,96.12,51.54,51.54,scale
18,35,rbf,0.5,95.22,95.22,51.24,51.24,scale
19,35,rbf,0.1,88.98,88.98,53.98,53.98,scale
20,40,rbf,20.0,98.74,98.74,55.5,55.5,scale
21,40,rbf,10.0,98.34,98.34,54.72,54.72,scale
22,40,rbf,1.0,96.2,96.2,51.5,51.5,scale
23,40,rbf,0.5,95.26,95.26,51.4,51.4,scale
24,40,rbf,0.1,89.04,89.04,54.18,54.18,scale
